Matches,Recursive calls,Total time,Search time
12,34,0.454167,0.009959
58,29,0.925,0.016708
40,10,0.276668,0.004334
40,17,0.345834,0.006959
40,89,0.491792,0.0295
41,40,0.170792,0.010167
40,126,0.707959,0.055375
40,31,0.496292,0.017333
40,35,0.411792,0.010792
40,392,0.970585,0.12925
40,17,0.377749,0.006625
42,110,0.671543,0.047875
12,9,0.091041,0.002166
40,6,0.131124,0.002833
42,48,0.698582,0.024416
40,7,0.291417,0.002833
40,33,0.369167,0.007708
40,40,0.203791,0.005458
11,20,0.084041,0.005666
40,29,0.299249,0.006625
40,105,0.940375,0.048167
40,60,0.832041,0.024
40,58,0.522167,0.02725
40,29,0.142917,0.006917
42,15,0.14075,0.006292
40,15,0.542168,0.008459
40,27,0.219749,0.004458
30,9,0.22721,0.002834
48,8,0.221251,0.003542
57,62,0.691749,0.027291
40,23,0.262293,0.005084
40,150,0.437124,0.055916
14,41,0.452126,0.013792
42,23,0.436916,0.008125
40,48,0.772416,0.017416
40,64,0.927833,0.02575
40,39,0.268376,0.00875
40,623,1.29533,0.382458
40,119,0.94375,0.036583
42,46,0.591291,0.016583
40,15,0.372666,0.003375
40,21,0.290292,0.004958
23,30,0.255876,0.00775
41,11,0.32354,0.005416
48,15,0.70379,0.011083
40,8,0.113959,0.003375
41,24,0.184543,0.008375
45,40,0.460833,0.017708
40,7,0.291708,0.003
40,97,0.270374,0.016875
40,124,0.607584,0.046917
40,72,0.506584,0.020375
42,110,0.580251,0.038792
40,17,0.629207,0.00875
40,29,0.195792,0.004042
40,72,0.21546,0.011375
8,103,0.308917,0.027084
40,14,0.192042,0.004709
8,9,0.196374,0.00325
54,17,0.31371,0.006959
40,27,0.249084,0.010084
40,47,0.310749,0.012958
42,40,0.464,0.01075
40,130,0.883833,0.032167
33,8,0.251834,0.004042
50,43,0.487041,0.01725
4,9,0.229416,0.002125
21,104,0.267375,0.021625
